Date,Open,High,Low,Close,Adj Close,Volume,abs_bins,pct_change,pct_change_bins
2018-06-29,125.73999786376952,127.7300033569336,125.73999786376952,126.43000030517578,117.79853057861328,5669700,3,,
2018-07-02,125.27999877929688,125.29000091552734,123.55999755859376,124.25,115.76734161376952,5073500,3,-0.017242745392024972,0.0
2018-07-03,125.45999908447266,126.69000244140624,124.5500030517578,124.7300033569336,116.214599609375,3919600,3,0.0038632060920209543,2.0
2018-07-05,126.11000061035156,126.25,123.81999969482422,123.9800033569336,115.51578521728516,5926900,3,-0.0060129878923659286,1.0
2018-07-06,123.5199966430664,124.5199966430664,123.19000244140624,124.13999938964844,115.66487121582031,4020000,3,0.0012904986964246135,2.0
2018-07-09,125.0,126.27999877929688,124.69000244140624,125.98999786376952,117.3885726928711,4602200,3,0.014902517183960517,3.0
2018-07-10,127.33000183105469,128.50999450683594,126.75,127.58999633789062,118.87932586669922,5092100,3,0.012699408693150005,3.0
2018-07-11,126.2300033569336,126.68000030517578,122.97000122070312,123.5199966430664,115.08718872070312,6631800,2,-0.031899050173540444,0.0
2018-07-12,124.44000244140624,124.9499969482422,123.58999633789062,124.26000213623048,115.77667236328124,3745200,3,0.0059909772771646885,2.0
2018-07-13,124.1999969482422,124.87999725341795,123.62999725341795,124.04000091552734,115.57169342041016,3352800,3,-0.0017704910423383957,1.0
2018-07-16,123.01000213623048,123.87999725341795,121.87999725341795,122.9800033569336,114.58406066894531,4317800,2,-0.00854561069630777,0.0
2018-07-17,122.36000061035156,122.95999908447266,121.8000030517578,121.91000366210938,113.5871124267578,4135200,2,-0.008700599004853538,0.0
2018-07-18,121.23999786376952,121.66999816894531,119.66999816894531,121.52999877929688,113.23304748535156,6061300,2,-0.0031170935230692143,1.0
2018-07-19,121.0999984741211,122.13999938964844,121.01000213623048,121.66999816894531,113.36348724365234,4471400,2,0.0011519739245837712,2.0
2018-07-20,121.25,122.3499984741211,121.01000213623048,122.2699966430664,113.92253112792969,5394700,2,0.004931359276326708,2.0
2018-07-23,122.3499984741211,123.06999969482422,121.16000366210938,121.33000183105469,113.04669952392578,5359400,2,-0.00768786159989665,0.0
2018-07-24,121.87000274658205,124.16000366210938,121.86000061035156,123.8499984741211,115.39466094970705,4423500,3,0.02076977338692676,3.0
2018-07-25,123.62000274658205,125.2300033569336,123.2699966430664,124.9000015258789,116.37297821044922,4278800,3,0.008478022322924827,3.0
2018-07-26,124.6999969482422,125.37999725341795,123.8000030517578,123.9499969482422,115.4878387451172,5544100,3,-0.007606121425385748,0.0
2018-07-27,122.79000091552734,127.04000091552734,122.08000183105469,125.97000122070312,117.36993408203124,7580900,3,0.016296928779307773,3.0
2018-07-30,126.76000213623048,128.41000366210938,126.22000122070312,127.83000183105469,119.10295104980469,5729300,3,0.014765425040306202,3.0
2018-07-31,128.0,128.55000305175778,126.12999725341795,126.2699966430664,117.64944458007812,5894400,3,-0.012203748460005825,0.0
2018-08-01,125.30999755859376,125.91999816894531,124.75,125.38999938964844,116.82952880859376,4661000,3,-0.006969171432747445,1.0
2018-08-02,124.44000244140624,124.80999755859376,123.3000030517578,123.76000213623048,115.3108139038086,4639600,3,-0.01299941990072706,0.0
2018-08-03,124.1500015258789,124.25,123.33000183105469,124.0500030517578,115.58101654052734,5299400,3,0.002343252347459579,2.0
2018-08-06,124.41999816894531,124.94000244140624,123.54000091552734,124.3000030517578,115.81394958496094,4455900,3,0.0020153163550966635,2.0
2018-08-07,125.54000091552734,125.6999969482422,124.75,125.18000030517578,116.63386535644531,4542000,3,0.007079623747487496,3.0
2018-08-08,124.5199966430664,124.79000091552734,123.31999969482422,123.87999725341795,115.42262268066406,5957200,3,-0.010385069888069642,0.0
2018-08-09,123.95999908447266,124.37000274658205,122.26000213623048,122.52999877929688,114.16478729248048,5218300,2,-0.010897630804426184,0.0
2018-08-10,122.16999816894531,123.5199966430664,121.5,123.33999633789062,114.91948699951172,6128000,2,0.006610606110041051,2.0
2018-08-13,123.30999755859376,123.68000030517578,122.26000213623048,122.44000244140624,114.0809326171875,4360000,2,-0.007296853601477693,0.0
2018-08-14,122.91999816894531,123.6500015258789,122.0,122.58000183105469,114.21136474609376,3622200,2,0.0011434121762243787,1.0
2018-08-15,121.6999969482422,121.7300033569336,117.43000030517578,117.94000244140624,109.88814544677734,9476700,1,-0.037852825259731215,0.0
2018-08-16,117.6999969482422,118.30999755859376,117.18000030517578,117.66000366210938,110.67829132080078,5455200,1,-0.0023740781202371553,1.0
2018-08-17,118.1500015258789,118.58000183105469,117.08999633789062,117.8000030517578,110.80998992919922,6112900,1,0.001189863889945686,2.0
2018-08-20,118.0,118.31999969482422,117.33000183105469,117.75,110.7629623413086,5403600,1,-0.0004244741125840612,1.0
2018-08-21,118.37999725341795,118.93000030517578,117.79000091552734,117.94000244140624,110.94168853759766,4875800,1,0.0016136088442142427,2.0
2018-08-22,118.54000091552734,119.45999908447266,118.41999816894531,118.91999816894531,111.86353302001952,3636900,1,0.008309273420830543,3.0
